id_estudiante,nombre,email,telefono,residencia,habitacion,fecha_entrada,cuota_mensual
EST-0001,Estudiante 1,estudiante1@email.com,600000001,Residencia Sol,386,2024-09-01,1200.0
EST-0002,Estudiante 2,estudiante2@email.com,600000002,Residencia Nova,143,2024-09-01,1200.0
EST-0003,Estudiante 3,estudiante3@email.com,600000003,Residencia Elite,431,2024-09-01,1200.0
EST-0004,Estudiante 4,estudiante4@email.com,600000004,Residencia Royal,529,2024-09-01,1200.0
EST-0005,Estudiante 5,estudiante5@email.com,600000005,Residencia Zenith,345,2024-09-01,1200.0
EST-0006,Estudiante 6,estudiante6@email.com,600000006,Residencia Standard 6,585,2024-09-01,850.0
EST-0007,Estudiante 7,estudiante7@email.com,600000007,Residencia Standard 7,189,2024-09-01,850.0
EST-0008,Estudiante 8,estudiante8@email.com,600000008,Residencia Standard 8,371,2024-09-01,850.0
EST-0009,Estudiante 9,estudiante9@email.com,600000009,Residencia Standard 9,101,2024-09-01,850.0
EST-0010,Estudiante 10,estudiante10@email.com,600000010,Residencia Standard 10,291,2024-09-01,850.0
EST-0011,Estudiante 11,estudiante11@email.com,600000011,Residencia Standard 11,599,2024-09-01,850.0
EST-0012,Estudiante 12,estudiante12@email.com,600000012,Residencia Standard 12,293,2024-09-01,850.0
EST-0013,Estudiante 13,estudiante13@email.com,600000013,Residencia Standard 13,392,2024-09-01,850.0
EST-0014,Estudiante 14,estudiante14@email.com,600000014,Residencia Standard 14,219,2024-09-01,850.0
EST-0015,Estudiante 15,estudiante15@email.com,600000015,Residencia Standard 15,134,2024-09-01,850.0
EST-0016,Estudiante 16,estudiante16@email.com,600000016,Residencia LowCost 16,296,2024-09-01,600.0
EST-0017,Estudiante 17,estudiante17@email.com,600000017,Residencia LowCost 17,306,2024-09-01,600.0
EST-0018,Estudiante 18,estudiante18@email.com,600000018,Residencia LowCost 18,151,2024-09-01,600.0
EST-0019,Estudiante 19,estudiante19@email.com,600000019,Residencia LowCost 19,123,2024-09-01,600.0
EST-0020,Estudiante 20,estudiante20@email.com,600000020,Residencia LowCost 20,161,2024-09-01,600.0
EST-0021,Estudiante 21,estudiante21@email.com,600000021,Residencia Sol,493,2024-09-01,1200.0
EST-0022,Estudiante 22,estudiante22@email.com,600000022,Residencia Nova,209,2024-09-01,1200.0
EST-0023,Estudiante 23,estudiante23@email.com,600000023,Residencia Elite,293,2024-09-01,1200.0
EST-0024,Estudiante 24,estudiante24@email.com,600000024,Residencia Royal,151,2024-09-01,1200.0
EST-0025,Estudiante 25,estudiante25@email.com,600000025,Residencia Zenith,311,2024-09-01,1200.0
EST-0026,Estudiante 26,estudiante26@email.com,600000026,Residencia Standard 6,126,2024-09-01,850.0
EST-0027,Estudiante 27,estudiante27@email.com,600000027,Residencia Standard 7,414,2024-09-01,850.0
EST-0028,Estudiante 28,estudiante28@email.com,600000028,Residencia Standard 8,115,2024-09-01,850.0
EST-0029,Estudiante 29,estudiante29@email.com,600000029,Residencia Standard 9,384,2024-09-01,850.0
EST-0030,Estudiante 30,estudiante30@email.com,600000030,Residencia Standard 10,362,2024-09-01,850.0
EST-0031,Estudiante 31,estudiante31@email.com,600000031,Residencia Standard 11,135,2024-09-01,850.0
EST-0032,Estudiante 32,estudiante32@email.com,600000032,Residencia Standard 12,499,2024-09-01,850.0
EST-0033,Estudiante 33,estudiante33@email.com,600000033,Residencia Standard 13,562,2024-09-01,850.0
EST-0034,Estudiante 34,estudiante34@email.com,600000034,Residencia Standard 14,200,2024-09-01,850.0
EST-0035,Estudiante 35,estudiante35@email.com,600000035,Residencia Standard 15,495,2024-09-01,850.0
